"","Link_id","direction","exec","step","dt","Mean_speed"
"1","4688548","1","2018-02-15 11:45:00","1","2018-02-15 12:00:00","23.8675427312895"
"2","4688548","1","2018-02-15 11:45:00","2","2018-02-15 12:15:00","23.8675436945392"
"3","4688548","1","2018-02-15 11:45:00","3","2018-02-15 12:30:00","23.8675436945392"
"4","4688548","1","2018-02-15 11:45:00","4","2018-02-15 12:45:00","23.8675436945392"
"11","4688549","1","2018-02-15 11:45:00","1","2018-02-15 12:00:00","17.5228111268194"
"21","4688549","1","2018-02-15 11:45:00","2","2018-02-15 12:15:00","17.5228111268194"
"31","4688549","1","2018-02-15 11:45:00","3","2018-02-15 12:30:00","17.5228111268194"
"41","4688549","1","2018-02-15 11:45:00","4","2018-02-15 12:45:00","17.5228111268194"
"12","4688550","1","2018-02-15 11:45:00","1","2018-02-15 12:00:00","6.94328910645704"
"22","4688550","1","2018-02-15 11:45:00","2","2018-02-15 12:15:00","6.89517306228872"
"32","4688550","1","2018-02-15 11:45:00","3","2018-02-15 12:30:00","6.89517306228872"
"42","4688550","1","2018-02-15 11:45:00","4","2018-02-15 12:45:00","6.89517306228872"
"13","4825719","1","2018-02-15 11:45:00","1","2018-02-15 12:00:00","28.829823280972"
"23","4825719","1","2018-02-15 11:45:00","2","2018-02-15 12:15:00","28.829823280972"
"33","4825719","1","2018-02-15 11:45:00","3","2018-02-15 12:30:00","28.829823280972"
"43","4825719","1","2018-02-15 11:45:00","4","2018-02-15 12:45:00","28.829823280972"
"14","4825719","2","2018-02-15 11:45:00","1","2018-02-15 12:00:00","23.0047686823289"
"24","4825719","2","2018-02-15 11:45:00","2","2018-02-15 12:15:00","23.0047686823289"
"34","4825719","2","2018-02-15 11:45:00","3","2018-02-15 12:30:00","23.0047686823289"
"44","4825719","2","2018-02-15 11:45:00","4","2018-02-15 12:45:00","23.0047686823289"
"15","4959083","1","2018-02-15 11:45:00","1","2018-02-15 12:00:00","28.5254376679006"
"25","4959083","1","2018-02-15 11:45:00","2","2018-02-15 12:15:00","28.5254376679006"
"35","4959083","1","2018-02-15 11:45:00","3","2018-02-15 12:30:00","28.5254376679006"
"45","4959083","1","2018-02-15 11:45:00","4","2018-02-15 12:45:00","28.5254376679006"
"16","13769164","1","2018-02-15 11:45:00","1","2018-02-15 12:00:00","16.1088518650376"
"26","13769164","1","2018-02-15 11:45:00","2","2018-02-15 12:15:00","16.1088518650376"
"36","13769164","1","2018-02-15 11:45:00","3","2018-02-15 12:30:00","16.1088518650376"
"46","13769164","1","2018-02-15 11:45:00","4","2018-02-15 12:45:00","16.1088518650376"
"17","13769290","1","2018-02-15 11:45:00","1","2018-02-15 12:00:00","28.7261265122769"
"27","13769290","1","2018-02-15 11:45:00","2","2018-02-15 12:15:00","28.7261265122769"
"37","13769290","1","2018-02-15 11:45:00","3","2018-02-15 12:30:00","28.7261265122769"
"47","13769290","1","2018-02-15 11:45:00","4","2018-02-15 12:45:00","28.7261265122769"
"18","13866832","1","2018-02-15 11:45:00","1","2018-02-15 12:00:00","14.4959841216295"
"28","13866832","1","2018-02-15 11:45:00","2","2018-02-15 12:15:00","14.4959841216295"
"38","13866832","1","2018-02-15 11:45:00","3","2018-02-15 12:30:00","14.4959841216295"
"48","13866832","1","2018-02-15 11:45:00","4","2018-02-15 12:45:00","14.4959841216295"
